,날짜,평점,리뷰
11,2019.05.13,5점만점에 5점,"피부 상태가 너무 안좋으면 살짝 따가워요... 자극은 좀 있습니다. 
저는 직접 바르지는 않고  시루콧토 솜에 적셔서 닦아내듯 씁니다. 처음에 사용 할 때는 극찬 할 정도로 좋았는데, 지속적 사용은 큰 효과는 잘 모르겠어요. 그래도 크게 트러블 일으키는 건 아니라 닦아내는 토너로 사용 중입니다. 냉장고에 넣어두고 사용합니다. 이 제품이 오프라인에서는 구하기 힘들어서 잘 알아보시고 구매해야 할 듯 해요^^ 아무튼 저는 살짝 진정시키는데 효과 본 사람입니다. 동생은 발효제품이 잘 안맞던데 이 제품 안맞았어요. 

병이 날씬한 일자형 모양에 묵직함이 있고 선물하기 좋은 것 같아요^^ 아무튼 할인 많이하면 살 만한 제품이긴 해요~"
12,2021.01.27,5점만점에 4점,요즘 날씨때문인지 피부가 푸석푸석하고 트러블이 자주 올라왔는데...이걸 쓰고 피부가 점점 매끈해지고 뾰루지도 잦아드는 느낌이 들었습니다!! 쑥 추출물 100%이어서그런지 순하고 자극없이 잘 흡수되더라고요~이것만 바르면 조금 건조할 수 있으니 크림을 같이 사용하면 좋아요! 너무 흐르지도 않고 꾸덕하지도 않아서 가볍게 톡톡 바르기 좋습니다. 사계절 내내 사용할 수 있을 것 같아요~세일할 때 저렴하게 사서 더욱 만족합니다! 다른 에센스보다 양도 많아서 굿굿!!! 다른 쑥라인 제품이랑 같이 사용하면 더 좋겠네용!! 다음에 또 사려고요~민감하신분들께 추천합니다
13,2021.01.24,5점만점에 4점,"늘 쓰는 제품이고요
다 쓴 병 사진 첨부해요 ㅋㅋ
있을 땐 그냥 그런데 안 쓸 때 티가 나는 제품?
특히 스트레스 받거나 화장 오래 했을 때 
스킨 팩해서 올려 놓으면 금방 진정돼요 생리할 때도 좋고요
가격이 조금만 더 저렴햇으면 하는 바람 ㅋㅋㅋ
이거 유사 제품도 많은데 역시 원조는 못 따라 가능 것 같네요 
비싸서 뭔가.. 한 방울 한 방울이 소중해요
스킨에 덜어내다가 한 방울 흐르면 그렇게 아까울 수가 없어요 따흑흑 ㅠㅠ
한 세 병 쓴 것 같은데 세일 때 쿠폰 먹여서 사면 아주 뿌듯하고 좋아요
또 살게요 사진 첨부합니다~!! 머그워트 짱"
14,2021.01.23,5점만점에 5점,"엄마가 스킨 떨어졌다해서 사드렸어요. 쑥 100%인게 너무 놀랐어요. 화해 어플로 상분 검색해보니 정말... 민감성분 없이 100% 더라고요 ? 그리고 에센스지만 거의 스킨처럼 쓸수 있는듯한 질감이에요. 용량은 데일리로 두달정도 쓸만한 양인데 원래 가격 생각하면 합리적인 가격대는 아닌~ (뭐... 백화점 화장품값에 비하면 미샤 수준이지만 ㅋㅋ) 그래도 할인기간에 오특? 가격으로 반값에 사서 나름 만족합니다. 아무튼 성분 측면에서 가장 만족하고요, 예전에 아임프롬 머그워트 마스크를 쓴 기억이 좋았어서 에센스를 사보았습니다. 설화수나 후 쓰시던 어머니도 만족하시는것 같아요"
15,2021.01.22,5점만점에 5점,"제 스킨케어는 아임프롬으로 시작해요!! 피부 뒤집어졌을때 이걸로 스킨팩해주면 다음날 싹 가라앉고 진짜 좋아요~행도 쑥향?처럼 은은히 나면서 매우 만족스럽습니다!!
진짜로 내돈내산 4통째 구매합니다.널리 알려지길 바라며"
16,2021.01.22,5점만점에 5점,"원래 토너의 필요성을 크게 못느껴서 관심이 없었어여. 그러다 겨울철이 되니 건조한 감이 있어서 검색하다 유튜브로 우연히 제품 추천을 보고 사용해봤는데 다른 토너보다 아주 만족스럽습니다. 
일단 자극 없고 진정효과가 큰게 제일 장점이에요~ 제형은 점성이 좀 있는 타입이고 향은 약한 한방냄새가 나는데 저한테는 크게 거슬리지 않더라구요.
 토너 대신 사용하고 있고 너무 좋은데 살짝 보습이 약한가싶어서 같은 브랜드의 무화과에센스도 구매해봤는데 저한테는 과한지 약간 트러블 기운이 생겼어요. 그래서 다시 머그워트에센스로 재구매합니다. 보습감이 약한건 아니라 다른 앰플 사용으로 보충하고 있어요. 제형 특성상 흡수가 빠른 편은 아니지만 겉돌거나 다음단계 밀림은 없습니다. 겨울철에 지복합성이 쓰기 좋은 정도의 수분감이고 저는 특별히 이상 없는한 쭉 구매해서 사용해보려구요. 앞으로 올리브영에서 세일 자주자주 해줬으면 좋겠어요~~
같은 라인의 마스크팩도 있어서 써보고싶은데 오프라인 판매처에는 없어서 아쉬웠어요"
17,2021.01.18,5점만점에 5점,"민감하고 건조한 피부인 제 피부에 마스크팩  사용해보고  트러블없이 촉촉하고 괜찮아서 입소문 자자한
에센스 사용해보고싶어 구매했는데,향도 강하지않고
순하고 좋은것같아요~"
18,2021.01.18,5점만점에 5점,"매일매일 아침저녁으로 세안하고 스킨 다음으로 발라주는 에센스에요~~~^^
아임프롬 머그워트 에센스와 함께한지 몇 년째인지 정말 꾸준하게 기본템으로 사용해 오고 있습니다~~~~^^
건성인분들께 추천드리고 싶어요~~~~
자극없이 순하게 피부에 촉촉히~~ 스며들어서 진정작용에 효과가 탁월한 것 같습니다!!!^^
화장품 자체로 드라마틱한 효과를 기대하긴 어렵지만 수분공급과 진정에 만족감을 주는 제품이네요~~~^^
특별히 뾰루지가 나거나 트러블이 올라오는 경우는 없었습니다!!!^^
한번씩 올라오는 열감있는 붉은기 있는 피부에 쫀쫀하게 스며들어 매끈한 피부결을 느꼈던 것 같아요^^"
19,2020.12.21,5점만점에 5점,워낙 유명하고 후기들이 좋은데 정가는 제가 구매하기엔 좀 높은 편이라 망설이다 세일 때 구매했습니다. 원래 쑥 제품이 잘 맞는다 느껴서 구매했던 건데 결론적으론 나쁘지 않았던 선택 같아요. 타사 제품은 그냥 순수한 물 같은 제형이라 토너처럼 사용했는데 이건 그거에 비해 점도가 좀 있어서 에센스처럼 흡수 시켜 사용 중이에요. 확실히 진정도 되고 효과를 봤어요.
20,2020.11.22,5점만점에 5점,"피부 트러블/진정에 좋다해서 구매해봤는데, 진짜 이걸왜
이제서야 구매했는지 아쉽네요 얼른 알았어야 했는데 ㅠㅠ우선 텍스처는 워터에센스인데 살짝 미끈하고 점성이 좀 느껴지지만 부드럽게 발리더라구요ㅎㅎ
그리고 쑥향도 은은하게 올라와서인지 거부감이 없어 좋았어요👏🏻
개인적으로 수부지 지성이나 건성이신분들 추천드려요👍🏻
저는 에센스팩으로도 자주 사용합니다 ✌🏻"
21,2020.10.21,5점만점에 5점,"와 미쳤다 피부트러블 자주 나는 사람 이거 꼭 써야되요
별 생각없이 트러블 난 데랑 붉은 기 있는 데에 팩처럼 얹거든요
진정효과 있고 촉촉해요 
요즘 피부 뒤집어져서 매일 같이 하다보니까 벌써 반을 썼어요 
트러블 화장품 유목민 이걸로 장착합니다
스킨팩처럼 쓸때 필리밀리1/2 화장솜 같이 썼는데 얼굴라인에 맞게 붙일 수 있어서 아임프롬이랑 같이 쓰고 있어요!"
22,2020.03.25,5점만점에 5점,"마스크착용이 일상이 되어버린 요즘,잠잠했던 피부에 붉어짐 및 트러블이 생겨서 진정 목적으로 구입했어요.

얇은솜에 충분히 에센스를 묻혀 사용하니 진정팩처럼 붉은기가 많이 사라졌어요. 

마스크 자극으로 인한 트러블은 과도한 세안보다는 충분한 보습 및 진정이 중요하다고 하는데 쑥에센스가 많은 도움이 되었어요.  재구매의사 100%😊👏👏👏"
23,2019.05.01,5점만점에 5점,"화장품 웬만해서는 추천안하는데 이 에센스는 너무 좋아서 주변에 추천 많이 합니다. 엄마도 하나 사드렸는데 굉장히 좋다고 합니다. 저녁에 이 에센스 바르고, 마스크팩 하나 하면 다음날 하루 종일 피부가 부드럽고 촉촉해요. 저희 남편은 불긋불긋 피부 트러블이 있었는데 이 에센스로 화장품 바꾼 뒤로 트러블이 다 없어지고, 피부가 확실히 눈에 띄게 좋아졌습니다."
24,2021.02.23,5점만점에 5점,"순합니다
진정에 좋은듯하규
무화과 스킨 쓰고 만족해서 
이 제품도 구매해봤어요"
25,2021.02.18,5점만점에 5점,마스크 때문에  피부 트러블이 자주 나서 진정 목적으로 구매했어요. 쑥 추출물 100프로여서 피부가 더 촉촉하고 진정도 잘 되네요. 향은 엄청 좋은 향은 아니예요. 질감은 토너처럼 잘 흘러내리지만 바른후 약간의 점성이 느껴집니다. 전 수부지라 촉촉하게 사용하기 좋았어요. 화장솜에 묻혀서 닦아내기보다는 손에 덜어서 두드려주면 흡수도 잘되고 피부결도 좋아져요.꿀팁은 분사용기에 넣어서 사용하면 피부가 건조할때 수시로 사용할수 있어요.
26,2021.01.17,5점만점에 5점,은은한 쑥 향이 나서 마음이 편안해지는 느낌이었습니다. 촉촉한 편은 아닌데 부드럽게 진정시켜주는 것같아요
27,2020.12.05,5점만점에 5점,"자극도 전혀 없고 넘 순하고 좋아요ㅠㅠ 생리기간 다가오거나 가끔씩 갑자기 얼굴에 열이 오르는데 그때 화장솜에 적셔서 올려두면 쥔짜 싹 내려가요..♥️ 
이 제품 벌써 한 5통 쓰는 거 같은데 없으면 불안해서 이번 세일기간에 쟁여둡니당 ㅎㅎ"
28,2020.12.04,5점만점에 5점,"악건성, 건성인+민감피부인 사람들이 쓰기 좋아요. 
향은 좀 고리고리해요. 근데 그거랑 사악한 가격 말고는 만족합니다. 그래도 할인 들어가서 사지 원 가격엔 못사ㅜㅜㅜ 면세점 가야해ㅜㅜㅜㅜ 기래도 사야쥬,,, 피부도 살아야제"
29,2020.12.01,5점만점에 5점,"쑥100%추출물
아임프롬머그워트에센스
쑥추출물제품이다양하게있어어떤걸쓰는게좋을까
열심히서치한결과선택한이제품!
아임프롬브랜드믿고선택한이유가컸지만
역시나였다^^
요즘같이마스크착용으로인한피부트러블때문에
진정효과가있는제품이절실했는데
저녁에세안후충분히얼굴에흡수시켜주고
뾰루지가올라온날에는화장솜에적셔올려주어
팩처럼사용해주면다음날진정효과를볼수있었다
진정효과뿐만아니라촉촉해서4계절두고두고
사용할수있는제품인거같습니다!"
30,2020.11.15,5점만점에 3점,"너무너무핵초민감성이라 웬만하면 새화장품은 구입안하는데요, 예전에 잘맞았던 임블리인진쑥이 판매중단해서 몇개월고민후에 사봤어요,,쑥향은 전혀 안났구 생각보다 오일리해서 미끄덩함이 느껴진게 별로였어요 스킨팩했을때 붉은기는 좀잡아주는 것 같고 이틀썼는데 아직 트러블반응은 없네요"
31,2020.10.17,5점만점에 5점,몇번째 구매인지 모르겠네요ㅎㅎ제형은 물같은 제형이고 바르면 촉촉합니다. 은은하게 쑥향이 나는데 저는 이것도 좋네요! 화장솜에 묻혀서 얼굴에 잠깐 올려놓으면 진정효과 최고입니다. 무조건 할인할때 사세요
32,2020.10.14,5점만점에 5점,"촉촉하구 발림성두 좋아요..
용량두 많아 토너처럼 여유롭게 사용한답니다~
자극두없규 이제품만벌써  ..쎄일할때 꼭쟁겨놓는제품입니다.
저가사는지역오프라인 매장에는 없어..
온라인상에 항상 구매한답니다~"
33,2020.09.29,5점만점에 4점,"생각보다 용량이 크네요..?
리뷰가 하도 좋길래 구입해봤습니다
화장할 때 사용하기 좋은 에센스 같아요
토너처럼 얼굴에 가볍게 찹찹하기 좋네요
피부 변화는 좀 더 사용해봐야 알 것 같아요"
34,2020.09.28,5점만점에 4점,"20대 초반까지도 트러블이 많이 일어났다하면 2-3개가 끝이였고 그마저도 마법기간 때문에 일시적으로 일어났다 자연스럽게 사라지기 마련이었습니다. 
아직도 정확한 원인은 모르겠지만 아마 마법기간이 다가오면서 식욕 올라옴과 동시에 기름진 음식을 거의 일주일 내내 먹었던 것 때문 같아요. 

깨끗하던 피부에 오른쪽 볼은 이미 다 트러블로 뒤집혔고 왼쪽도 심각해지던 찰나에 배송 도착해서 사용 시작은 이제 6일째 되네요. 

[진정] 일단 확실히 진정 효과는 있어요. 이제 에센스 겸 토너는 이 제품만 사용해야겠다 싶은 생각이 확 들었고, 

1일차에는 저녁에만 사용했는데 다음날 아침에 확인하니 확실히 붉은 트러블에 볼록볼록한 느낌이 줄어든 느낌이었어요.
붉은 상태로 하루종일이었는데 이제는 세안하고 수분크림까지 바르는 과정에서 자극이 되어서 일시적으로는 붉은 느낌이 다시 일어나는데 좀 두면 다시 괜찮아지더라고요. 

근데 저는 다른분들처럼 트러블이 없어지거나 피부가 깨끗해지지는 않네요. 일단 저는 피부 뒤집히고 손으로 전혀 건드리지 않은 상태였고 머리카락도 닿는게 불안해서 항상 묶고 있는 상태였어요. 다른 제품들 써 본다고 일주일 정도 방치해 뒀었는데 그 때문인지 아무래도 흉터가 지려는 것 같아 일단 이 제품 사용하면서 염증이 없는 곳에는 흉터연고를 같이 사용해주고 있습니다. 

[향] 쑥 좋아하시는 분들은 별 반응 없이 사용할 수 있는 향이에요. 싫어하시는 분들도 그렇게 거부 반응 일으킬 수준의 향은 아닙니다. 피부에 향이 남는 건 아니니 편히 사용 가능하겠어요.

이제 5일 됐으니 뭐 효과는 더 지켜보면 확실히 알 것 같네요. 워낙에 갑자기 올라와서 그런지 기대감이 컸을 수도 있으니까 계속 사용해보겠습니다.

그리고 어떤 후기에 사용중에 너무 쉽게 병이 깨져서 다시 구매하셨다는 후기 때문에 배송 받기까지 좀 불안했는데 상자 열어보니 천만다행이다 싶을 정도였네요. 공기 봉투를 왜 한쪽 면에만 싸서 보내시는 건지? 밑 위 다 하셔서 보내셔야 안전할 것 같아요 :)"
35,2020.09.24,5점만점에 5점,"다시 돌아왔어요^^;; 용량대비 가격이 저렴한?편은 아니지만 순하고 자극없어서 매번사용하다가...한번 일탈했는데 ㅋㅋㅋ역시 아임프롬만한게없네요ㅋ 더군다나 계절도 가을,겨울로 넘어가서 진짜 최고예요^^ 복합성+속건조+임산부 입니다!"
36,2020.09.23,5점만점에 5점,"쑥 관련 에센스를 사용하면 진정에 좋다고 해서 관심이 있었는데요
임블리 제품을 사용하다가 아이프롬으로 처음 사용해봤습니다. 스킨팩으로 활용하기 딱 좋구요, 요즘 마스크 쓰느라 트러블이 잠깐잠깐 나곤 하는데 진정시키기에 최고에요"
37,2020.08.13,5점만점에 5점,"마스크때문에 트러블이 갑자기 심해져서 한달정도 사용했는데오~
진짜 눈에띄게 피부가 진정된게 느껴져요 !!!!
뾰루지뿐만 아니라 10년동안 있었던 이마 좁쌀여드름이 사라졌어요 정말루....
거짓말 아니고 세수할때마다 이마에 도돌도돌하던게 없어져서 너무 신기할정도에요👍🏻"
