,날짜,평점,리뷰
14,2020.06.04,5점만점에 5점,"❗️제가... 3통째 비우고 있는 앰플입니다... ❗️
수부지 피부에 트러블 (좁쌀+블랙헤드+마법의날 뾰루지) 
총체적 난국의 피부입니다.....
다양한 수분크림,토너 등을 사용했지만... 수분은 먹어버리고.. 개기름만 남는.. 더 건조한 상황이였숩니다....
처음엔 프로폴리스 토너랑 앰플을 같이 사용했지만 다 비우고 앰플만 재구매 했습니다! 토너도 좋지만 여름엔 무거운 느낌이 들어서 앰플만 샀어요! 

(코스알엑스 오리지널 핌플패드 + 프로폴리스 앰플 = 꿀조합..) 

앰플은 흡수시켜주면 쫀쫀해지고 그다음날 아침에 지성피부라 기름이 살짝 생기는데 세수를 하면 피부 자체가 촉촉해요!  화장도 더 잘 먹는 것 같구요. 아마 제 피부가 프로폴리스 함유 된것이 잘 맞나봐요.. 앰플 유목민이였는데 정착했습니다. 이제 여름용 가벼운 앰플도 나왔다 해서 이번에 산거 다 쓰면 여름용으로 살껍니당! 

저는 피부가 예민하지 않다고 생각했는데 제가 정착하기 전 사용했던 닥터xx트 트러블용 크림이나 토x든 수분앰플? 을 사용했었는데 두개다 제 피부와 안맞아서 다 뒤집어지고 간지러웠숨다... 예민한 것 일까요?! 이 제품이 맞지 않으셨던 분들.. 이거 사용해보세여... 저 여기서 누워요...(정착)

단점이라 함은... 가격대가 조금 있다는 것?!... 40ml까지 나왔지만 금방금방 써서 가격면에서 부담이 되는 것 같네용!"
15,2021.02.27,5점만점에 5점,오랫동안 사용해왔는데 앰플 중엔 이만한 제품 없는 것 같아요. 용량도 크고 보습도 좋구! 앞으로도 자주 애용할 예정입니다^^
16,2021.02.10,5점만점에 5점,"부모님 선물해드렸는데 잘 사용하고 계십니다
토너도 작은 게 같이 와서 여행용으로 들고다니기 좋을것 같네요"
17,2021.01.29,5점만점에 4점,"믿고 쓰는 코스알엑스!
앰플 찾다가 코스알엑스 평소에도 잘 쓰고 있어서 믿고 구매했어요!
친구 집에서 한번 사용해본 독도 스킨?후에 코스알엑스 엠플로 가볍게 발라주고 아벤느 시칼 크림? 이렇게 발랐는데 평소와 비교 안되게 느낌이 좋고 쫀쫀해서 그 앰플,크림 조합 그대로 구매합니다! 
앰플 상세내용보니 원하는 느낌에 따라 스킨과 앰플, 토너패드와 앰플, 앰플과 크림 이런식으로 다른 느낌이라고 적혀있어서 원래는 앰플만 구매하고 싶었는데 토너패드도 사용하고 있었어서 스킨도 같이 있는 친구로 구매했습니다!

각 제품들이랑 조합이 어떨지 기대하며 사용해보겠습니당"
18,2021.01.24,5점만점에 4점,토너는 피부에 흡수되고 살짝 건조한 느낌이 있어서 속건조까지 잡아주지는 못 하는 것 같아요.. 앰플은 건성분들이 쓰시는게 좋을 것 같아요! 피부에 닿았을 때 큰 자극 없이 무난하게 쓸 수 있는 제품 같습니당
19,2021.01.21,5점만점에 5점,"이번에 기초제품들 다 써버려서 하나 새로 사려고 둘러보다가 누가 이 제품 추천해줘서 이것만 사보려고 했는데 지름신이 돌아버려서 ㅜㅜ 크림이랑 토너까지 같이 샀어요 (토너는 많이 남아있는데,,) 그래도 같은 라인 제품이어서 그런지 같이 쓰니까 기분도 좋고 효과도 더 좋은느낌? ㅋㅋ 처음에 배송오고 바로 씻고 발라봤는데 밖이 추워서 차갑더라구요 바를 때 약간 미끌미끌거리고 끈적?했는데 금방 흡수되서 이 점은 별로 신경 안쓰였어요 되게 촉촉한 거 같고 좋아요 요즘은 코로나 때문에 나갈 일이 없어서 화장은 잘 안 하는데 화장도 잘 먹을 것 같아요"
20,2021.01.16,5점만점에 4점,"저는 일단 많이 건조한 건성이예요! 
처음 여름에 사용할 때는 많이 끈적여서 사용하는데 조금 아쉬웠어요 그래서 그냥 그랬는데 겨울 되서 서용하니까 진짜 맘에 드는 앰플이였어요 바르고 나면 빠르게 흡수되고 조금 끈적이긴 한데 촉촉함이 오래가요! 그래서 겨울에 두겹씩 바르고 크림으로 마무리하면 밤 내내 촉촉하게 자고 아침에까지 기분좋게 일어 날 수 있어요! 지성분들이 사용하면 조금 끈적여서 싫어 할 수 있을거 같은데 나머지 분들에겐 정말 추천해요 
저는 같은 라인으로 나온 토너랑 같이 써주니까 더 시너지가 됬던거 같아요 토너랑 같이 한번 사용해보세요!"
21,2021.01.14,5점만점에 5점,"산 지는 좀 됐는데 기존 제품 다 사용하고 하느라 이제 처음 써봤어요. 우선 같이 들어 있는 토너가 생각보다 넘 좋네요.
그냥 토너라기 보다는 에센스 토너에 가까워서 바르고 나면 촉촉해요.
저녁에 쓰면 특히 더 좋을것 같아서 재구매 해야겠
될 것 같아요.
토너 바르고 앰플 바로 발라봤는데 토너랑 궁합이 좋은것 같아요.
프로폴리스 제품 샘플만 써보고 정제품은 처음 사서 써보는데 생각보다 촉촉하고 피부에 흡수도 잘 돼서 넘 마음에 드네요.~
여름에 쓰기에는 조금 무거울 수도 있는데 그 외 겨절에는 특히 겨울에 쓰기 참 좋은 제품이라고 생각해요.
앰플 제품 치고는 가격도 착하고 여러모로 좋은 제품이라고 생각합니다~"
22,2021.01.14,5점만점에 3점,가격이 저렴하고 유리병이라 한번 사봄. 왜인지 모르겠는데 유리병으로 나온제품을 더 선호함. 프로폴리스라 보습에 좋은가본데 어디 써봐야짘ㅋ사은품도 같이 득템해서 존좋
23,2021.01.12,5점만점에 5점,"자극없이 순한 제품이라고 이미 유명해서 써봤는데, 성분도 착하고 가격도 저렴한 편이라 쟁여두고 쓰기 좋아요!! 건조한 피부라 겨울철에 많이 고민이였는데 클렌징하고 토너로 닦아준 뒤 두차례에 걸려서 흡수시켜주고 있어요 확실히 발라주고 다음날에는 피부가 쫀득쫀득하더라고요 
너무 마음에 들어 지인들한테도 추천해주고 있답니당!! 제형은 음 약간 꿀? 같은제형이라 바르고 마르기 시작하면 손으로 두드릴때 촉촉이 아니라 살짝 끈적? 거려서 발림성은 크게 좋진 않지만 앰플 사용 후 수분크림 넉넉히 발라주면 확실히 다음 날 피부가 너무 좋아져 있어요 만족합니당"
24,2021.01.08,5점만점에 5점,속건조 있는 분들 모두 주목! 코스알엑스 풀핏 프로폴리스 라이트 앰플을 만나고 속건조가 사라진 사람이 있다?! 그게 바로 접니다ㅎㅎㅎㅎ 속건조가 없다는 스킨을 써도 보습감이 충분하기로 유명한 스킨을 써도 촉촉한 크림으로 바꿔도 2퍼센트 부족했던 수분감이 드디어 채워졌습니다 한 펌프를 얼굴 전체에 발라주면 약간 찐득도 아닌 것이 쫀득도 아닌 것이 얼굴에 남아있는 듯한 느낌이 드는데 그걸 보습크림으로 싹 덮어주면 아주 그냥 다음 날 아침에 일어날 때까지 촉촉한 피부가 됩니다요 게다가 드디어 유수분 밸런스가 잡혔는지 간간히 올라오던 트러블도 덜 올라오는 느낌입니다 평소에 기초 잘 하는데 속건조가 있으신 분들 앰플 한 번만 써보세요 진짜
25,2021.01.06,5점만점에 5점,촉촉한 걸 좋아하는 저로썬 조금은 아쉽지만 복합성이라 엄청 건조하게 느껴진 적은 없는 거 같아요 ! 카밍패드랑 앰플이랑 라이트 크림 이렇게 3가지 발라주면 보습도 진정도 다 잡아주고 화장도 잘 먹어용 다 쓰고 또 써야지 뉸누
26,2021.01.05,5점만점에 5점,"겨울이 되고 건조하기도 하고 하루종일 끼고 있는 마스크 때문인지 피부가 많이 예민해지고 피부장벽이 무너진 것 같은 느낌이 들어서 이 제품을 구매하게 되었습니다. 
일단 유해성분이나 알레르기를 일으킬만한 성분이 없어서 예민해진 피부에 발라도 전혀 자극이 되지 않았다는 점이 좋았습니다. 개인적으로 거슬릴만한 향이 없어서 정말 좋았고 앰플이 얼굴에 흡수가 잘 되는 편이어서 3-4일 정도 꾸준히 발랐을 때 속건조를 해결해주는 듯한 느낌을 받아서 좋았습니다. 수분감이 채워지는 것 같습니다. 이 제품은 재구매 할 예정입니다. 친구에게도 추천했습니다."
27,2020.12.18,5점만점에 5점,"이번에 올영세일하면서 겨울대비 보습앰플로 구매해봤는데 결과는 개인적으로 대만족이요! 이번에 샀던 제품들 중에 제일 맘에 들어요 :)
완전 물같은 제형은 싫은데 요 아이는 딱 쫀쫀한 콧물제형으로 피부에 촥 붙는게 너무 좋았고
그렇다고해서 절대 밀리거나 찐득찐득하게 남는게 아니라 보습 꽉 잡아주면서 가볍게 마무리됐어요!
재구매 의사 있습니다"
28,2020.11.14,5점만점에 5점,민감한복합성인데 추워지면서 얼굴이 너무당겨서 촉촉해보여서 샀어요 첨엔 바르고나서 끈적이나싶었는데 조금지나니 다흡수되고 오히러 안보이던 광이보이고 건조하지않아서 좋아요 순한지ㅜ얼굴에도 뭐올라오지도않고 잘산거같애요 같이온 토너랑쓰니깐 확실히 시너지효과가 좋아서 토너도구매할거에요
29,2020.10.26,5점만점에 5점,"제가 프로폴리스 제품이 잘 맞아서, 이 라인의 토너와 함께 구입했는데 진짜 피부가 좋아지는게 확실히 느껴져요! 제가 지성피부인데, 쫌 끈적거려서 그런지 아침에는 부담스럽고, 저녁에 듬뿍 바르고 자는데 정말 만족스럽습니다! 프로폴리스 맞으시는 분들 진짜 한번 사서 써보셨으면 좋겠네요"
30,2020.09.28,5점만점에 5점,"환절기와 겨울엔 프로폴리스 앰플을 꼭 바르고
있어요. 여러 브랜드의 좋은 앰플과 세럼  등
골고루 쓰고 있지만 피부건조함이 많이 느껴질땐
프로폴리스 앰플의 보습력이 확실히 좋은 것 
같습니다. 같이 구성된 토너와 같이 쓰면 효과가
더 좋아서 토너도 본품으로 구입하고 싶습니다!
그리고 건성피부로 고민인 지인이 있다면 선물용으로도 좋은 것 같습니다~"
31,2021.03.02,5점만점에 4점,수부지인데 겨울에 쓰기 좋아요~ 여름에 쓰면 아무래도 프로폴리스 성분이라서 약간 끈적임이 있을 것 같아요. 근데 너무 끈적이는 편은 아님. 수분감 좀 있어요. 겨울에는 촉촉하니 보습도 잘 되고 좋았습니다. 복합성이고 민감성인데 얼굴에 뭐 나는 것도 없고 좋았어요. 근데 프로폴리스 성분이 안맞는 사람은 피부에 뭐 날 수 도 있다고 하네용
32,2021.02.10,5점만점에 5점,저희 어머니가 제 화장품을 쓰시고 정말 마음에 들어하셨어요!! 저녁에 바르고 자면 아침에 일어났을때 피부결이 좋아진것 같다네요!! 저도 이 제품을 쓰고 왠지 피부결이나 여드름 오돌토돌한 느낌이 없어진 것 같아서 화장품 다 사용하고 재구매할 예정이에요!💛💛 그만큼 추천하는 제품입니당!
33,2020.12.21,5점만점에 5점,"인생 앰플!!입니다. 
원래 차*박 프로폴리스 앰플 대용량으로 한 5병은 비운것 같은데 코스알엑스 만나고 차*박 안사고있어요 ㅋㅋㅋㅋ
물론 두가지가 다른 부분이 있고 호불호가 있겠지만
코스알엑스가 더 가볍게 피부에 잘 스며들어요. 
그렇다고 건조한게 아니라 촉촉하면서 착붙!하게 촉촉해지면서
피부ㅇㅔ 영양을 공급하는 느낌이라서 좋아요. 
차*박은 약간 무거운 느낌이 들고 피부에 수분을 주는느낌이 아예 안들면서 영양을 주는 기분인데,
코스알엑스는 수분도 주고 영양도 주는 느낌이라서
수분부족형 지성! 수분이 필요하신 분들은 이게 더 좋을것같아요. 기초에서 수분 따로 공급하고 보습으로 쓰실분들은 차앤박이 더 나을것같기도하고요!
그리고 무엇보다 가성비가 너무 좋아요
넉넉~하게 잘 쓸 수 있다는게 정말 좋아요!"
34,2020.12.12,5점만점에 5점,앰플 토너 꼭 같이 사용해야 효과가 제일 좋은 것 같아요 ㅎㅎ 코스알엑스 제품 중 꼭 써봐야하는 추천템이라고 생각해요~ 떨어지지 않게 세일 기간 중에는 꼭 쟁여두고 사용하고 있어요~ㅎㅎ
35,2020.12.03,5점만점에 5점,"일단 너무너무 만족스러운 상품 입니다! 
저는 코스알엑스 쓰기 전에 스킨푸드 프로폴리스
앰플을 사용 했었는데 스킨푸드보다 더 무거운 제형 이지만 ( 스킨푸드는 흐르는 거의 물 제형) 
흡수되면 오히려 쫀쫀하고 건성 피부에는 훨 좋은거 같아요!! 냄새는 거의 무향입니다! 
지금 같은 계절에는 코스알엑스가 더 좋아여!!!"
36,2020.11.16,5점만점에 5점,"이번에 세일하는 김에 샀습니다 원래 잘 맞던 상품이었어요 

조금만 새로운 화장품을 사용하면 얼굴에 좁쌀여드름이랑 화농성같은 붉은 여드름이 얼굴을 다 덮을 정도로 예민한 피부입니다 프로폴리스가 저에게 잘 맞는지 처음 사용했을때 피부가 그대로 유지가 되었습니다 

진정효과 같은 건 유심히 보지 않아서 잘 모르겠지만 같은 라인 토너랑 사용하면 여름에는 얇게, 겨울에는 촉촉하게 보습할 수 있어요 일년 내내 사용 중 이에요. 복합성?이라 부위에 따라 바르고 있습니다. 마무리감이 찐득하다고 느끼는 분들도 있던데 성분도 있고 로션으로 마무리하면 찐득하지 않아요
세일할때마다 쟁여두려고요 !!"
37,2020.11.04,5점만점에 5점,속건조 잡을려고 구매했는데 쫀쫀하면서도 촉촉하게 잘 발려서 개기름과 트러블이 훨씬 줄었습니다. 딱히 트러블도 안올라와서 아침 저녁으로 매일 사용하고 있어요
38,2020.09.28,5점만점에 4점,"계속 티르티르 썻엇는데 쓰기 전에 코스알엑스랑 티르티르랑 엄청 고민했었음 ... 건성이라 코스알엑스가 딱 꾸덕꾸덕해보이는데 끈적임이 있을까봐 티르티르가 조금 더 가격대가 있어서 그냥 더 비싼걸로 사보자 해서 지금까지 세통인가 기초라인 다 사용했었는데 이제 슬슬 다 써서 가격대가 계속 부담이 돼서 같이 고민했었던 코스알엑스가 딱 생각나는거임 지금 기획상품이 여러가지 있길래 계속 검색해봤는데 토너,앰플,크림 이렇게 안 쓰고 다른거 바르고 코스알엑스 앰플만 사용해서 쓰는 분들이 좀 있더라구요 근데 전 라인 세트로 사는걸 좋아해서 지금 앰플사면 토너 키트도 주겠다 일단 코스알엑스 토너앰플 구매+ 티르티르 크림(크림을 먼저 다 써서 새로 산지 얼마 안돼서 아직 많이 남았었음.) 으로 이렇게 발라봄 

일단 제가 점심대에 구매하고 바로 세안해서 발라보고 
저녁에 또 바름. 제가 불면증이 좀 있어서 이때 잠을 못 잔 상태에 환절기로 피부가 많이 안 좋아서 감안하고 바르고 자고 아침에 일어나 또 세안해서 발라봄 
환절기라 비염이 심해서 약 처방을 받았는데 먹으니 괜찮아지고 또 저녁에 세안하고 바르니 

어 나쁘지 않네요..?̊̈
생각과 다르게 촉촉하고 아주 약간의 꾸덕,끈적하지만 
흡수가 빠르고 너무 가벼운건 아니고 적당히 가벼우면서
촉촉했음. 그래서 크림도 기대하면서 구매하려니 
여기저기 품절이더라구요ㅠㅠ 
추석까지 섞이고 주변에서 구할수 있는거니 배송은 기다리기 급하고 ..
다른데더 더 알아보고 얼른 사려구요!

일단 이거 토너,앰플,크림만 바르실거면 아주 악건성이나 , 건성인데 악건성은 아닌데 살짝 더 건조한 편..?이면 비추천 입니다! 
그냥 너무 산뜻하고 가벼운거 바르면 땡기는 건조한 피부 정도면 이거도 괜찮은거 같아용 !"
39,2020.09.28,5점만점에 5점,"믿고 사는 제품
환절기 철에 건조해지는 피부에 끝장 보습을 선물해줌
너무 많이 바를 시 유분이 심할수도 있음 적당히 바르는걸 추천
아침보다는 밤에 바르는게 좋음"
40,2020.09.27,5점만점에 5점,코스알엑스 프로폴리스라인은 뭐 아쉬울거 없이 늘 5점 만점입니다. 저는 여름빼고 1년내내 잘 쓰고 있어요. 세일 자주자주 해주세요. ♥️💚🐝
41,2020.09.02,5점만점에 5점,"보습에 탁월해요 :-)
건성분들이 쓰시기에 좋아요
저는 지복합이라 앰플 바르고 수분크림을 겔타입으로 가볍게만 발라도 충분했어요 
앰플을 되게 빨리 쓰는 편인데 이거는 한번만 스포이드로 짜서 바르면 돼서 평소보다 오래쓰고있어요
건성인 언니가 써보고 보습이 좋다며 겨울에 쓰고 싶다고 하더라구요
앰플이 보습이 좋은데도 답답한 느낌이 없어서 지복합인 저도 만족해하면서 쓰고있어요 :-)"
42,2020.07.16,5점만점에 5점,"저가 민감성수부지라서 잘 뒤집어지고 좁쌀을 달고 살았는데 제친구가 이거 쓰고있어서 세트로 써보고 그다음날 피부가 너무좋아져서 바로 이라인 세트로 다구매했어요 지성이나 수부지에게 최고인거 같아요
특히 결도 정말 많이 좋아지는거같아요 뒤집어진후 결이 안좋아서 화장도 안먹어서 스트레스받았는데 이걸 쓴후 그런걱정 싹사라졌습니다 제친구도 정말정말 예민한 피부의 소유자인데 너무좋다며 잘쓰고있습니다"
